,logistic_regression,svm,mlp,cnn,gradient_boosting,random_forest
Word2Vec,,0.48445566413527286,0.4986759408931982,0.38024490072064027,0.4192947344619906,0.3818320567358608
BERT,,0.5859318100018944,0.5544201083180166,0.38504895329340366,0.49981549846324147,0.4690343880099196
BART,,0.615381306248576,0.5630603434086555,0.4128274223358253,0.5138851599490918,0.4978177047370422
T5,,0.41608358303632664,0.06544908180300502,,,
